tileswide 20
tileshigh 20
tilewidth 32
tileheight 32

layer 0
17,9,9,9,9,9,14,13,13,13,13,13,13,11,9,9,9,9,9,9,
17,9,7,6,8,9,14,13,13,13,13,13,13,13,18,11,9,10,18,18,
17,9,4,0,2,9,16,15,15,15,15,15,15,15,15,12,9,14,13,13,
17,9,5,1,3,9,9,9,9,9,9,9,7,6,8,9,9,14,13,13,
13,11,9,9,9,9,9,9,9,9,9,9,4,0,2,9,9,16,15,15,
13,13,18,11,9,9,9,9,10,18,-1,9,5,1,3,9,9,9,9,9,
15,15,13,17,9,9,9,9,14,13,17,9,9,9,9,9,9,9,9,9,
9,9,16,12,9,9,9,9,16,15,12,9,9,9,9,9,9,9,9,7,
9,9,9,9,9,9,9,9,9,9,7,6,6,6,8,10,18,11,9,4,
9,9,9,9,9,9,9,9,9,9,4,0,0,0,2,14,13,17,9,4,
9,9,10,18,18,18,18,18,18,11,4,0,0,0,2,14,13,17,9,5,
18,18,13,13,13,13,13,13,13,17,5,1,1,1,3,16,15,12,9,9,
15,15,15,15,13,13,13,13,13,17,9,9,9,9,9,9,9,9,9,9,
9,9,9,9,14,13,13,13,13,17,9,9,9,9,9,9,9,9,9,9,
9,9,9,9,16,13,13,13,13,17,9,9,9,9,9,9,9,9,10,18,
9,10,11,9,9,16,15,15,15,12,9,9,9,9,6,6,8,9,14,13,
9,16,12,9,9,9,9,9,9,9,9,9,9,7,0,0,0,9,14,13,
9,9,9,8,9,9,9,9,9,9,9,9,9,1,1,1,3,9,14,13,
9,5,1,3,9,9,9,10,18,11,9,9,9,9,9,9,9,9,14,13,
9,9,9,9,10,18,18,13,13,17,9,9,9,10,11,9,9,9,14,13,

layer 1
19,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,
19,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,19,19,-1,19,19,19,
19,-1,-1,-1,-1,-1,19,19,19,19,19,19,19,19,19,19,-1,19,-1,-1,
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,
-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,19,19,
-1,-1,19,19,-1,-1,-1,-1,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,
19,19,-1,19,-1,-1,-1,-1,19,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,19,19,-1,-1,-1,-1,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,19,19,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,19,-1,-1,
-1,-1,19,19,19,19,19,19,19,19,-1,-1,-1,-1,-1,19,-1,19,-1,-1,
19,19,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,19,19,19,-1,-1,
19,19,19,19,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,19,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,19,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,19,19,
-1,19,19,-1,-1,19,19,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,
-1,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,
-1,-1,-1,-1,-1,-1,-1,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,
-1,-1,-1,-1,19,19,19,-1,-1,19,-1,-1,-1,19,19,-1,-1,-1,19,-1,

